Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
 , , , , , , , ,W,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21650,ECS,036C,A02,M,4.000,Data Structures,MWF,02:10 pm-03:00 pm,63,0,63,999,0,999,0,0,0,Edwin A. Solares (P),01/08-03/15,TBA
 , , , , , , , ,W,05:10 pm-06:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21651,ECS,036C,A03,M,4.000,Data Structures,MWF,02:10 pm-03:00 pm,63,0,63,999,0,999,0,0,0,Edwin A. Solares (P),01/08-03/15,TBA
 , , , , , , , ,F,09:00 am-09:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21652,ECS,050,001,M,4.000,Machine Dependent Prog,MWF,01:10 pm-02:00 pm,125,0,125,999,0,999,0,0,0,Matthew F. Butner (P),01/08-03/15,TBA
 , , , , , , , ,W,10:00 am-10:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21691,ECS,098,033,M,1.000-5.000,Directed Gp Study,W,07:10 pm-08:00 pm,20,0,20,999,0,999,0,0,0,Mohammad Sadoghi Hamedani (P),01/08-03/15,KEMPER 01065
NR,21711,ECS,098,053,M,1.000-5.000,Directed Gp Study, ,TBA,99,0,99,999,0,999,0,0,0,Mohammad Sadoghi Hamedani (P),01/08-03/15,TBA
NR,44607,ECS,116,001,M,4.000,Databases for Non-Majors,TR,09:00 am-10:20 am,120,0,120,999,0,999,0,0,0,. The Staff (P),01/08-03/15,TBA
 , , , , , , , ,W,01:10 pm-02:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21771,ECS,120,A01,M,4.000,Theory Computation,TR,12:10 pm-01:30 pm,58,0,58,999,0,999,0,0,0,David S. Doty (P),01/08-03/15,TBA
 , , , , , , , ,T,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21772,ECS,120,A02,M,4.000,Theory Computation,TR,12:10 pm-01:30 pm,58,0,58,999,0,999,0,0,0,David S. Doty (P),01/08-03/15,TBA
 , , , , , , , ,F,04:10 pm-05:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21773,ECS,120,A03,M,4.000,Theory Computation,TR,12:10 pm-01:30 pm,59,0,59,999,0,999,0,0,0,David S. Doty (P),01/08-03/15,TBA
 , , , , , , , ,R,02:10 pm-03:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
